project_id,user_id,title,description,is_public,created_at,updated_at
1,1,Library Management System,"Manages patients, doctors, appointments, prescriptions",0,2024-01-14 00:00:00,2024-01-24 00:00:00
2,2,Hospital Records DB,"Handles products, orders, customers, and payments",0,2024-01-17 00:00:00,2024-01-27 00:00:00
3,3,E-Commerce Platform,"Covers students, teachers, courses, grades",0,2024-01-20 00:00:00,2024-01-30 00:00:00
4,4,School ERP,"Monitors stock levels, suppliers, warehouses",1,2024-01-23 00:00:00,2024-02-02 00:00:00
5,5,Inventory Tracker,"Payroll, employees, departments, leaves",0,2024-01-26 00:00:00,2024-02-05 00:00:00
6,6,HR Management,"Contacts, deals, pipelines, activities",0,2024-01-29 00:00:00,2024-02-08 00:00:00
7,7,CRM System,"Posts, tags, authors, comments",0,2024-02-01 00:00:00,2024-02-11 00:00:00
8,8,Blog Engine,"Items, bids, users, auctions",1,2024-02-04 00:00:00,2024-02-14 00:00:00
9,9,Auction Platform,"Flights, passengers, bookings, seats",0,2024-02-07 00:00:00,2024-02-17 00:00:00
10,10,Flight Booking DB,"Tracks books, authors, members, and loans",0,2024-02-10 00:00:00,2024-02-20 00:00:00
11,11,Banking System,"Manages patients, doctors, appointments, prescriptions",0,2024-02-13 00:00:00,2024-02-23 00:00:00
12,12,Social Network Schema,"Handles products, orders, customers, and payments",1,2024-02-16 00:00:00,2024-02-26 00:00:00
13,13,Food Delivery App,"Covers students, teachers, courses, grades",0,2024-02-19 00:00:00,2024-02-29 00:00:00
14,14,Real Estate DB,"Monitors stock levels, suppliers, warehouses",0,2024-02-22 00:00:00,2024-03-03 00:00:00
15,15,Streaming Service,"Payroll, employees, departments, leaves",0,2024-02-25 00:00:00,2024-03-06 00:00:00
16,16,Gym Management,"Contacts, deals, pipelines, activities",1,2024-02-28 00:00:00,2024-03-09 00:00:00
17,17,Event Planner,"Posts, tags, authors, comments",0,2024-03-02 00:00:00,2024-03-12 00:00:00
18,18,Pharmacy DB,"Items, bids, users, auctions",0,2024-03-05 00:00:00,2024-03-15 00:00:00
19,19,University Portal,"Flights, passengers, bookings, seats",0,2024-03-08 00:00:00,2024-03-18 00:00:00
20,20,Logistics Tracker,"Tracks books, authors, members, and loans",1,2024-03-11 00:00:00,2024-03-21 00:00:00
21,21,Library Management System,"Manages patients, doctors, appointments, prescriptions",0,2024-03-14 00:00:00,2024-03-24 00:00:00
